Time_Sec;Pos_H;Pos_V;Pos_R;Temp_A;Temp_B;Set_A;Set_B;Stable_A;Stable_B
0.002;0.0;0.0;0.0;23.128205128205128;22.700854700854702;25.0;25.0;0;0
0.103;0.0;0.0;0.0;23.128205128205128;22.700854700854702;25.0;25.0;0;0
0.205;0.0;0.0;0.0;23.128205128205128;22.700854700854702;25.0;25.0;0;0
0.31;0.0;0.0;0.0;23.128205128205128;22.700854700854702;25.0;25.0;0;0
0.41;0.0;0.0;0.0;23.128205128205128;22.700854700854702;25.0;25.0;0;0
0.512;0.0;0.0;0.0;23.128205128205128;22.700854700854702;25.0;25.0;0;0
0.612;0.0;0.0;0.0;23.128205128205128;22.700854700854702;25.0;25.0;0;0
0.726;0.0;0.0;0.0;23.128205128205128;22.700854700854702;25.0;25.0;0;0
0.83;0.0;0.0;0.0;23.128205128205128;22.700854700854702;25.0;25.0;0;0
0.938;0.0;0.0;0.0;23.128205128205128;22.700854700854702;25.0;25.0;0;0
1.052;0.0;0.0;0.0;23.128205128205128;22.700854700854702;25.0;25.0;0;0
1.154;0.0;0.0;0.0;23.128205128205128;22.700854700854702;25.0;25.0;0;0
1.266;0.0;0.0;0.0;23.128205128205128;22.700854700854702;25.0;25.0;0;0
1.374;0.0;0.0;0.0;23.128205128205128;22.700854700854702;25.0;25.0;0;0
1.483;0.0;0.0;0.0;23.128205128205128;22.700854700854702;25.0;25.0;0;0
1.594;0.0;0.0;0.0;23.128205128205128;22.700854700854702;25.0;25.0;0;0
1.715;0.0;0.0;0.0;23.128205128205128;22.700854700854702;25.0;25.0;0;0
1.815;0.0;0.0;0.0;23.128205128205128;22.700854700854702;25.0;25.0;0;0
1.922;0.0;0.0;0.0;23.128205128205128;22.700854700854702;25.0;25.0;0;0
2.034;0.0;0.0;0.0;23.128205128205128;22.700854700854702;25.0;25.0;0;0
2.142;0.0;0.0;0.0;23.128205128205128;22.700854700854702;25.0;25.0;0;0
2.254;0.0;0.0;0.0;23.128205128205128;22.700854700854702;25.0;25.0;0;0
2.366;0.0;0.0;0.0;23.128205128205128;22.700854700854702;25.0;25.0;0;0
2.476;0.0;0.0;0.0;23.128205128205128;22.700854700854702;25.0;25.0;0;0
2.585;0.0;0.0;0.0;23.128205128205128;22.700854700854702;25.0;25.0;0;0
2.697;0.0;0.0;0.0;23.128205128205128;22.700854700854702;25.0;25.0;0;0
2.805;0.0375;0.0;0.0;23.128205128205128;22.700854700854702;25.0;25.0;0;0
2.911;0.76125;0.0;0.0;23.128205128205128;22.700854700854702;25.0;25.0;0;0
3.029;1.26625;0.0;0.0;23.128205128205128;22.700854700854702;25.0;25.0;0;0
3.139;1.77625;0.0;0.0;23.128205128205128;22.700854700854702;25.0;25.0;0;0
3.247;2.2875;0.0;0.0;23.128205128205128;22.700854700854702;25.0;25.0;0;0
3.358;2.7925;0.0;0.0;23.128205128205128;22.700854700854702;25.0;25.0;0;0
3.464;3.30125;0.0;0.0;23.128205128205128;22.700854700854702;25.0;25.0;0;0
3.576;4.06;0.0;0.0;23.128205128205128;22.700854700854702;25.0;25.0;0;0
3.684;4.57;0.0;0.0;23.128205128205128;22.700854700854702;25.0;25.0;0;0
3.79;4.99;0.0;0.0;23.128205128205128;22.700854700854702;25.0;25.0;0;0
3.891;5.0;0.0;0.0;23.128205128205128;22.700854700854702;25.0;25.0;0;0
4.01;5.0;0.0;0.0;23.128205128205128;22.700854700854702;25.0;25.0;0;0
4.118;5.0;0.0;0.0;23.128205128205128;22.700854700854702;25.0;25.0;0;0
4.219;5.0;0.0;0.0;23.128205128205128;22.700854700854702;25.0;25.0;0;0
4.339;5.0;0.0;0.0;23.128205128205128;22.700854700854702;25.0;25.0;0;0
4.452;5.0;0.0;0.0;23.128205128205128;22.700854700854702;25.0;25.0;0;0
4.564;5.0;0.0;0.0;23.128205128205128;22.700854700854702;25.0;25.0;0;0
4.67;5.0;0.0;0.0;23.128205128205128;22.700854700854702;25.0;25.0;0;0
4.77;5.0;0.0;0.0;23.128205128205128;22.700854700854702;25.0;25.0;0;0
4.878;5.0;0.0;0.0;23.128205128205128;22.700854700854702;25.0;25.0;0;0
4.987;5.0;0.0;0.0;23.128205128205128;22.700854700854702;25.0;25.0;0;0
5.093;5.0;0.0;0.0;23.128205128205128;22.700854700854702;25.0;25.0;0;0
5.196;5.0;0.0;0.0;23.128205128205128;22.700854700854702;25.0;25.0;0;0
5.298;5.0;0.0;0.0;23.128205128205128;22.700854700854702;25.0;25.0;0;0
5.404;5.0;0.0;0.0;23.128205128205128;22.700854700854702;25.0;25.0;0;0
5.521;5.0;0.0;0.0;23.128205128205128;22.700854700854702;25.0;25.0;0;0
5.633;5.0;0.0;0.0;23.128205128205128;22.700854700854702;25.0;25.0;0;0
5.734;5.0;0.0;0.0;23.128205128205128;22.700854700854702;25.0;25.0;0;0
5.853;5.0;0.0;0.0;23.128205128205128;22.700854700854702;25.0;25.0;0;0
5.965;5.0;0.0;0.0;23.128205128205128;22.700854700854702;25.0;25.0;0;0
6.077;4.7925;0.0;0.0;23.128205128205128;22.700854700854702;25.0;25.0;0;0
6.181;4.285;0.0;0.0;23.128205128205128;22.700854700854702;25.0;25.0;0;0
6.283;3.77625;0.0;0.0;23.128205128205128;22.700854700854702;25.0;25.0;0;0
6.389;3.2675;0.0;0.0;23.128205128205128;22.700854700854702;25.0;25.0;0;0
6.502;2.51;0.0;0.0;23.128205128205128;22.700854700854702;25.0;25.0;0;0
6.618;2.25625;0.0;0.0;23.128205128205128;22.700854700854702;25.0;25.0;0;0
6.727;1.49375;0.0;0.0;23.128205128205128;22.700854700854702;25.0;25.0;0;0
6.831;0.9925;0.0;0.0;23.128205128205128;22.700854700854702;25.0;25.0;0;0
6.943;0.485;0.0;0.0;23.128205128205128;22.700854700854702;25.0;25.0;0;0
7.053;0.0;0.0;0.0;23.128205128205128;22.700854700854702;25.0;25.0;0;0
7.165;0.0;0.0;0.0;23.128205128205128;22.700854700854702;25.0;25.0;0;0
7.27;0.0;0.0;0.0;23.128205128205128;22.700854700854702;25.0;25.0;0;0
7.381;0.0;0.0;0.0;23.128205128205128;22.700854700854702;25.0;25.0;0;0
7.483;0.0;0.0;0.0;23.128205128205128;22.700854700854702;25.0;25.0;0;0
7.589;0.0;0.0;0.0;23.128205128205128;22.700854700854702;25.0;25.0;0;0
7.714;0.0;0.0;0.0;23.128205128205128;22.700854700854702;25.0;25.0;0;0
7.865;0.0;0.0;0.0;23.128205128205128;22.700854700854702;25.0;25.0;0;0
7.991;0.0;0.0;0.0;23.128205128205128;22.700854700854702;25.0;25.0;0;0
8.091;0.0;0.0;0.0;23.128205128205128;22.700854700854702;25.0;25.0;0;0
8.196;0.0;0.0;0.0;23.128205128205128;22.700854700854702;25.0;25.0;0;0
8.298;0.0;0.0;0.0;23.128205128205128;22.700854700854702;25.0;25.0;0;0
8.415;0.0;0.0;0.0;23.128205128205128;22.700854700854702;25.0;25.0;0;0
8.541;0.0;0.0;0.0;23.128205128205128;22.700854700854702;25.0;25.0;0;0
8.641;0.0;0.0;0.0;23.128205128205128;22.700854700854702;25.0;25.0;0;0
8.749;0.0;0.0;0.0;23.128205128205128;22.700854700854702;25.0;25.0;0;0
8.856;0.0;0.0;0.0;23.128205128205128;22.700854700854702;25.0;25.0;0;0
8.964;0.0;0.0;0.0;23.128205128205128;22.700854700854702;25.0;25.0;0;0
9.078;0.0;0.0;0.0;23.128205128205128;22.700854700854702;25.0;25.0;0;0
9.181;0.0;0.0;0.0;23.128205128205128;22.700854700854702;25.0;25.0;0;0
9.283;0.0;0.0;0.0;23.128205128205128;22.700854700854702;25.0;25.0;0;0
9.386;0.01375;0.0;0.0;23.128205128205128;22.700854700854702;25.0;25.0;0;0
9.492;0.44375;0.0;0.0;23.128205128205128;22.700854700854702;25.0;25.0;0;0
9.627;1.21;0.0;0.0;23.128205128205128;22.700854700854702;25.0;25.0;0;0
9.734;1.715;0.0;0.0;23.128205128205128;22.700854700854702;25.0;25.0;0;0
9.834;2.22625;0.0;0.0;23.128205128205128;22.700854700854702;25.0;25.0;0;0
9.941;2.73625;0.0;0.0;23.128205128205128;22.700854700854702;25.0;25.0;0;0
10.046;3.245;0.0;0.0;23.128205128205128;22.700854700854702;25.0;25.0;0;0
10.15;3.75375;0.0;0.0;23.128205128205128;22.700854700854702;25.0;25.0;0;0
10.25;4.2575;0.0;0.0;23.128205128205128;22.700854700854702;25.0;25.0;0;0
10.364;4.765;0.0;0.0;23.128205128205128;22.700854700854702;25.0;25.0;0;0
10.47;5.2725;0.0;0.0;23.128205128205128;22.700854700854702;25.0;25.0;0;0
10.577;6.0275;0.0;0.0;23.128205128205128;22.700854700854702;25.0;25.0;0;0
10.702;6.535;0.0;0.0;23.128205128205128;22.700854700854702;25.0;25.0;0;0
10.833;7.0425;0.0;0.0;23.128205128205128;22.700854700854702;25.0;25.0;0;0
10.943;7.8;0.0;0.0;23.128205128205128;22.700854700854702;25.0;25.0;0;0
11.053;8.31;0.0;0.0;23.128205128205128;22.700854700854702;25.0;25.0;0;0
11.159;8.81375;0.0;0.0;23.128205128205128;22.700854700854702;25.0;25.0;0;0
