Time_Sec;Pos_H;Pos_V;Pos_R;Temp_A;Temp_B;Set_A;Set_B;Stable_A;Stable_B
0.002;0.0;50.0;0.0;23.017094017094017;23.179487179487182;25.0;25.0;0;0
0.103;0.0;50.0;0.0;23.017094017094017;23.179487179487182;25.0;25.0;0;0
0.204;0.0;50.0;0.0;23.017094017094017;23.179487179487182;25.0;25.0;0;0
0.304;0.0;50.0;0.0;23.017094017094017;23.179487179487182;25.0;25.0;0;0
0.413;0.0;50.0;0.0;23.017094017094017;23.179487179487182;25.0;25.0;0;0
0.515;0.0;50.0;0.0;23.017094017094017;23.179487179487182;25.0;25.0;0;0
0.616;0.0;50.0;0.0;23.017094017094017;23.179487179487182;25.0;25.0;0;0
0.735;0.0;50.0;0.0;23.017094017094017;23.179487179487182;25.0;25.0;0;0
0.839;0.0;50.0;0.0;23.017094017094017;23.179487179487182;25.0;25.0;0;0
0.943;0.0;50.0;0.0;23.017094017094017;23.179487179487182;25.0;25.0;0;0
1.043;0.0;50.0;0.0;23.017094017094017;23.179487179487182;25.0;25.0;0;0
1.154;0.0;50.0;0.0;23.017094017094017;23.179487179487182;25.0;25.0;0;0
1.259;0.0;50.0;0.0;23.017094017094017;23.179487179487182;25.0;25.0;0;0
1.359;0.0;50.0;0.0;23.017094017094017;23.179487179487182;25.0;25.0;0;0
1.468;0.0;50.0;0.0;23.017094017094017;23.179487179487182;25.0;25.0;0;0
1.581;0.0;50.0;0.0;23.017094017094017;23.179487179487182;25.0;25.0;0;0
1.689;0.0;50.0;0.0;23.017094017094017;23.179487179487182;25.0;25.0;0;0
1.802;0.0;50.0;0.0;23.017094017094017;23.179487179487182;25.0;25.0;0;0
1.908;0.0;50.0;0.0;23.017094017094017;23.179487179487182;25.0;25.0;0;0
2.009;0.0;50.0;0.0;23.017094017094017;23.179487179487182;25.0;25.0;0;0
2.111;0.0;50.0;0.0;23.017094017094017;23.179487179487182;25.0;25.0;0;0
2.211;0.0;50.0;0.0;23.017094017094017;23.179487179487182;25.0;25.0;0;0
2.311;0.0;50.0;0.0;23.017094017094017;23.179487179487182;25.0;25.0;0;0
2.412;0.0;50.0;0.0;23.017094017094017;23.179487179487182;25.0;25.0;0;0
2.514;0.0;50.0;0.0;23.017094017094017;23.179487179487182;25.0;25.0;0;0
2.616;0.0;50.0;0.0;23.017094017094017;23.179487179487182;25.0;25.0;0;0
2.718;0.0;50.0;0.0;23.017094017094017;23.179487179487182;25.0;25.0;0;0
2.82;0.0;50.0;0.0;23.017094017094017;23.179487179487182;25.0;25.0;0;0
2.926;0.0;50.0;0.0;23.017094017094017;23.179487179487182;25.0;25.0;0;0
3.027;0.0;50.0;0.0;23.017094017094017;23.179487179487182;25.0;25.0;0;0
3.132;0.0;50.0;0.0;23.017094017094017;23.179487179487182;25.0;25.0;0;0
3.243;0.0;50.0;0.0;23.017094017094017;23.179487179487182;25.0;25.0;0;0
3.354;0.0;50.0;0.0;23.017094017094017;23.179487179487182;25.0;25.0;0;0
3.454;0.0;50.0;0.0;23.017094017094017;23.179487179487182;25.0;25.0;0;0
3.555;0.0;50.0;0.0;23.017094017094017;23.179487179487182;25.0;25.0;0;0
3.665;0.0;50.0;0.0;23.017094017094017;23.179487179487182;25.0;25.0;0;0
3.766;0.0;50.0;0.0;23.017094017094017;23.179487179487182;25.0;25.0;0;0
3.873;0.0;50.0;0.0;23.017094017094017;23.179487179487182;25.0;25.0;0;0
3.983;0.0;50.0;0.0;23.017094017094017;23.179487179487182;25.0;25.0;0;0
4.092;0.0;50.0;0.0;23.017094017094017;23.179487179487182;25.0;25.0;0;0
4.206;0.0;50.0;0.0;23.017094017094017;23.179487179487182;25.0;25.0;0;0
4.317;0.0;50.0;0.0;23.017094017094017;23.179487179487182;25.0;25.0;0;0
4.426;0.0;50.0;0.0;23.017094017094017;23.179487179487182;25.0;25.0;0;0
4.538;0.0;50.0;0.0;23.017094017094017;23.179487179487182;25.0;25.0;0;0
4.653;0.0;50.0;0.0;23.017094017094017;23.179487179487182;25.0;25.0;0;0
4.759;0.0;50.0;0.0;23.017094017094017;23.179487179487182;25.0;25.0;0;0
4.86;0.0;50.0;0.0;23.017094017094017;23.179487179487182;25.0;25.0;0;0
4.966;0.0;50.0;0.0;23.017094017094017;23.179487179487182;25.0;25.0;0;0
5.077;0.0;50.0;0.0;23.017094017094017;23.179487179487182;25.0;25.0;0;0
5.188;0.0;50.0;0.0;23.017094017094017;23.179487179487182;25.0;25.0;0;0
5.297;0.0;50.0;0.0;23.017094017094017;23.179487179487182;25.0;25.0;0;0
5.411;0.0;50.0;0.0;23.017094017094017;23.179487179487182;25.0;25.0;0;0
5.518;0.0;50.0;0.0;23.017094017094017;23.179487179487182;25.0;25.0;0;0
5.632;0.0;50.0;0.0;23.017094017094017;23.179487179487182;25.0;25.0;0;0
5.741;0.0;50.0;0.0;23.017094017094017;23.179487179487182;25.0;25.0;0;0
5.85;0.0;50.0;0.0;23.017094017094017;23.179487179487182;25.0;25.0;0;0
5.965;0.0;50.0;0.0;23.017094017094017;23.179487179487182;25.0;25.0;0;0
6.072;0.0;50.0;0.0;23.017094017094017;23.179487179487182;25.0;25.0;0;0
6.174;0.0;50.0;0.0;23.017094017094017;23.179487179487182;25.0;25.0;0;0
6.282;0.0;50.0;0.0;23.017094017094017;23.179487179487182;25.0;25.0;0;0
6.393;0.0;50.0;0.0;23.017094017094017;23.179487179487182;25.0;25.0;0;0
6.501;0.0;50.0;0.0;23.017094017094017;23.179487179487182;25.0;25.0;0;0
6.602;0.0;50.0;0.0;23.017094017094017;23.179487179487182;25.0;25.0;0;0
6.726;0.0;50.0;0.0;23.017094017094017;23.179487179487182;25.0;25.0;0;0
6.841;0.0;50.0;0.0;23.017094017094017;23.179487179487182;25.0;25.0;0;0
6.966;0.0;50.0;0.0;23.017094017094017;23.179487179487182;25.0;25.0;0;0
7.075;0.0;50.0;0.0;23.017094017094017;23.179487179487182;25.0;25.0;0;0
7.176;0.0;50.0;0.0;23.017094017094017;23.179487179487182;25.0;25.0;0;0
7.28;0.0;50.0;0.0;23.017094017094017;23.179487179487182;25.0;25.0;0;0
7.391;0.0;50.0;0.0;23.017094017094017;23.179487179487182;25.0;25.0;0;0
7.5;0.0;50.0;0.0;23.017094017094017;23.179487179487182;25.0;25.0;0;0
7.617;0.14875;50.0;0.0;23.017094017094017;23.179487179487182;25.0;25.0;0;0
7.726;0.66375;50.0;0.0;23.017094017094017;23.179487179487182;25.0;25.0;0;0
7.832;1.17375;50.0;0.0;23.017094017094017;23.179487179487182;25.0;25.0;0;0
7.943;1.68375;50.0;0.0;23.017094017094017;23.179487179487182;25.0;25.0;0;0
8.057;2.19;50.0;0.0;23.017094017094017;23.179487179487182;25.0;25.0;0;0
8.164;2.955;50.0;0.0;23.017094017094017;23.179487179487182;25.0;25.0;0;0
8.28;3.46375;50.0;0.0;23.017094017094017;23.179487179487182;25.0;25.0;0;0
8.388;3.9675;50.0;0.0;23.017094017094017;23.179487179487182;25.0;25.0;0;0
8.488;4.73375;50.0;0.0;23.017094017094017;23.179487179487182;25.0;25.0;0;0
8.595;4.9525;50.0;0.0;23.017094017094017;23.179487179487182;25.0;25.0;0;0
8.707;5.0;50.0;0.0;23.017094017094017;23.179487179487182;25.0;25.0;0;0
8.821;5.0;50.0;0.0;23.017094017094017;23.179487179487182;25.0;25.0;0;0
8.931;5.0;50.0;0.0;23.017094017094017;23.179487179487182;25.0;25.0;0;0
9.036;5.0;50.0;0.0;23.017094017094017;23.179487179487182;25.0;25.0;0;0
9.151;5.0;50.0;0.0;23.017094017094017;23.179487179487182;25.0;25.0;0;0
9.258;5.0;50.0;0.0;23.017094017094017;23.179487179487182;25.0;25.0;0;0
9.359;5.0;50.0;0.0;23.017094017094017;23.179487179487182;25.0;25.0;0;0
9.465;5.0;50.0;0.0;23.017094017094017;23.179487179487182;25.0;25.0;0;0
9.566;5.0;50.0;0.0;23.017094017094017;23.179487179487182;25.0;25.0;0;0
9.667;5.0;50.0;0.0;23.017094017094017;23.179487179487182;25.0;25.0;0;0
9.767;5.0;50.0;0.0;23.017094017094017;23.179487179487182;25.0;25.0;0;0
9.868;5.0;50.0;0.0;23.017094017094017;23.179487179487182;25.0;25.0;0;0
9.969;5.0;50.0;0.0;23.017094017094017;23.179487179487182;25.0;25.0;0;0
10.07;5.0;50.0;0.0;23.017094017094017;23.179487179487182;25.0;25.0;0;0
10.181;5.0;50.0;0.0;23.017094017094017;23.179487179487182;25.0;25.0;0;0
10.282;5.0;50.0;0.0;23.017094017094017;23.179487179487182;25.0;25.0;0;0
10.382;5.0;50.0;0.0;23.017094017094017;23.179487179487182;25.0;25.0;0;0
10.488;5.0;50.0;0.0;23.017094017094017;23.179487179487182;25.0;25.0;0;0
10.596;5.0;50.0;0.0;23.017094017094017;23.179487179487182;25.0;25.0;0;0
10.708;5.0;50.0;0.0;23.017094017094017;23.179487179487182;25.0;25.0;0;0
10.809;4.87875;50.0;0.0;23.017094017094017;23.179487179487182;25.0;25.0;0;0
10.911;4.37375;50.0;0.0;23.017094017094017;23.179487179487182;25.0;25.0;0;0
11.015;3.86625;50.0;0.0;23.017094017094017;23.179487179487182;25.0;25.0;0;0
11.117;3.3575;50.0;0.0;23.017094017094017;23.179487179487182;25.0;25.0;0;0
11.222;2.85375;50.0;0.0;23.017094017094017;23.179487179487182;25.0;25.0;0;0
11.333;2.345;50.0;0.0;23.017094017094017;23.179487179487182;25.0;25.0;0;0
11.433;1.8375;50.0;0.0;23.017094017094017;23.179487179487182;25.0;25.0;0;0
11.534;1.07625;50.0;0.0;23.017094017094017;23.179487179487182;25.0;25.0;0;0
11.638;0.8225;50.0;0.0;23.017094017094017;23.179487179487182;25.0;25.0;0;0
11.74;0.08;50.0;0.0;23.017094017094017;23.179487179487182;25.0;25.0;0;0
11.854;0.0;50.0;0.0;23.017094017094017;23.179487179487182;25.0;25.0;0;0
11.961;0.0;50.0;0.0;23.017094017094017;23.179487179487182;25.0;25.0;0;0
12.075;0.0;50.0;0.0;23.017094017094017;23.179487179487182;25.0;25.0;0;0
12.186;0.0;50.0;0.0;23.017094017094017;23.179487179487182;25.0;25.0;0;0
12.296;0.0;50.0;0.0;23.017094017094017;23.179487179487182;25.0;25.0;0;0
12.401;0.0;50.0;0.0;23.017094017094017;23.179487179487182;25.0;25.0;0;0
12.516;0.0;50.0;0.0;23.017094017094017;23.179487179487182;25.0;25.0;0;0
12.621;0.0;50.0;0.0;23.017094017094017;23.179487179487182;25.0;25.0;0;0
12.737;0.0;50.0;0.0;23.017094017094017;23.179487179487182;25.0;25.0;0;0
12.838;0.0;50.0;0.0;23.017094017094017;23.179487179487182;25.0;25.0;0;0
12.94;0.0;50.0;0.0;23.017094017094017;23.179487179487182;25.0;25.0;0;0
13.057;0.0;50.0;0.0;23.017094017094017;23.179487179487182;25.0;25.0;0;0
13.177;0.0;50.0;0.0;23.017094017094017;23.179487179487182;25.0;25.0;0;0
13.278;0.0;50.0;0.0;22.96581196581197;23.179487179487182;25.0;25.0;0;0
13.4;0.0;50.0;0.0;22.96581196581197;23.179487179487182;25.0;25.0;0;0
13.5;0.0;50.0;0.0;22.96581196581197;23.179487179487182;25.0;25.0;0;0
13.618;0.0;50.0;0.0;22.96581196581197;23.179487179487182;25.0;25.0;0;0
