Time_Sec;Pos_H;Pos_V;Pos_R;Temp_A;Temp_B;Set_A;Set_B;Stable_A;Stable_B
0.002;0.0;0.0;0.0;22.96581196581197;23.179487179487182;25.0;25.0;0;0
0.103;0.0;0.0;0.0;22.96581196581197;23.179487179487182;25.0;25.0;0;0
0.203;0.0;0.0;0.0;22.96581196581197;23.179487179487182;25.0;25.0;0;0
0.306;0.0;0.0;0.0;23.017094017094017;23.179487179487182;25.0;25.0;0;0
0.41;0.0;0.0;0.0;23.017094017094017;23.179487179487182;25.0;25.0;0;0
0.51;0.0;0.0;0.0;23.017094017094017;23.179487179487182;25.0;25.0;0;0
0.617;0.0;0.0;0.0;23.017094017094017;23.179487179487182;25.0;25.0;0;0
0.737;0.0;0.0;0.0;23.017094017094017;23.179487179487182;25.0;25.0;0;0
0.841;0.0;0.0;0.0;23.017094017094017;23.179487179487182;25.0;25.0;0;0
0.96;0.0;0.0;0.0;23.017094017094017;23.179487179487182;25.0;25.0;0;0
1.061;0.0;0.0;0.0;23.017094017094017;23.179487179487182;25.0;25.0;0;0
1.162;0.0;0.0;0.0;23.017094017094017;23.179487179487182;25.0;25.0;0;0
1.264;0.0;0.0;0.0;23.017094017094017;23.179487179487182;25.0;25.0;0;0
1.366;0.0;0.0;0.0;23.017094017094017;23.179487179487182;25.0;25.0;0;0
1.475;0.0;0.0;0.0;23.017094017094017;23.179487179487182;25.0;25.0;0;0
1.582;0.0;0.0;0.0;23.017094017094017;23.179487179487182;25.0;25.0;0;0
1.694;0.0;0.0;0.0;23.017094017094017;23.179487179487182;25.0;25.0;0;0
1.796;0.0;0.0;0.0;23.017094017094017;23.179487179487182;25.0;25.0;0;0
1.903;0.0;0.0;0.0;23.017094017094017;23.179487179487182;25.0;25.0;0;0
2.012;0.0;0.0;0.0;23.017094017094017;23.179487179487182;25.0;25.0;0;0
2.125;0.0;0.0;0.0;23.017094017094017;23.179487179487182;25.0;25.0;0;0
2.227;0.0;0.0;0.0;23.017094017094017;23.179487179487182;25.0;25.0;0;0
2.329;0.0;0.0;0.0;23.017094017094017;23.128205128205128;25.0;25.0;0;0
2.441;0.0;0.0;0.0;23.017094017094017;23.128205128205128;25.0;25.0;0;0
2.541;0.0;0.0;0.0;23.017094017094017;23.128205128205128;25.0;25.0;0;0
2.642;0.0;0.0;0.0;23.017094017094017;23.128205128205128;25.0;25.0;0;0
2.742;0.0;0.0;0.0;23.017094017094017;23.128205128205128;25.0;25.0;0;0
2.842;0.0;0.0;0.0;23.017094017094017;23.128205128205128;25.0;25.0;0;0
2.943;0.0;0.0;0.0;23.017094017094017;23.128205128205128;25.0;25.0;0;0
3.046;0.0;0.0;0.0;23.017094017094017;23.128205128205128;25.0;25.0;0;0
3.151;0.0;0.0;0.0;23.017094017094017;23.128205128205128;25.0;25.0;0;0
3.255;0.0;0.0;0.0;23.017094017094017;23.128205128205128;25.0;25.0;0;0
3.363;0.0;0.0;0.0;23.017094017094017;23.128205128205128;25.0;25.0;0;0
3.463;0.0;0.0;0.0;23.017094017094017;23.128205128205128;25.0;25.0;0;0
3.564;0.0;0.0;0.0;23.017094017094017;23.128205128205128;25.0;25.0;0;0
3.665;0.0;0.0;0.0;23.017094017094017;23.128205128205128;25.0;25.0;0;0
3.781;0.0;0.0;0.0;23.017094017094017;23.128205128205128;25.0;25.0;0;0
3.886;0.0;0.0;0.0;23.017094017094017;23.128205128205128;25.0;25.0;0;0
4.005;0.0;0.0;0.0;23.017094017094017;23.128205128205128;25.0;25.0;0;0
4.11;0.0;0.0;0.0;23.017094017094017;23.128205128205128;25.0;25.0;0;0
4.221;0.0;0.0;0.0;23.017094017094017;23.128205128205128;25.0;25.0;0;0
4.335;0.0;0.0;0.0;23.017094017094017;23.179487179487182;25.0;25.0;0;0
4.447;0.0;0.0;0.0;23.017094017094017;23.179487179487182;25.0;25.0;0;0
4.558;0.0;0.0;0.0;23.017094017094017;23.179487179487182;25.0;25.0;0;0
4.659;0.0;0.0;0.0;23.017094017094017;23.179487179487182;25.0;25.0;0;0
4.759;0.0;0.0;0.0;23.017094017094017;23.179487179487182;25.0;25.0;0;0
4.874;0.0;0.0;0.0;23.017094017094017;23.179487179487182;25.0;25.0;0;0
4.985;0.0;0.0;0.0;23.017094017094017;23.179487179487182;25.0;25.0;0;0
5.094;0.0;0.0;0.0;23.017094017094017;23.179487179487182;25.0;25.0;0;0
5.206;0.0;0.0;0.0;23.017094017094017;23.179487179487182;25.0;25.0;0;0
5.317;0.0;0.0;0.0;23.017094017094017;23.179487179487182;25.0;25.0;0;0
5.42;0.0;0.0;0.0;23.017094017094017;23.179487179487182;25.0;25.0;0;0
5.53;0.0;0.0;0.0;23.017094017094017;23.179487179487182;25.0;25.0;0;0
5.639;0.0;0.0;0.0;23.017094017094017;23.179487179487182;25.0;25.0;0;0
5.75;0.0;0.0;0.0;23.017094017094017;23.179487179487182;25.0;25.0;0;0
5.856;0.0;0.0;0.0;23.017094017094017;23.179487179487182;25.0;25.0;0;0
5.968;0.0;0.0;0.0;23.017094017094017;23.179487179487182;25.0;25.0;0;0
6.078;0.0;0.0;0.0;23.017094017094017;23.179487179487182;25.0;25.0;0;0
6.189;0.0;0.0;0.0;23.017094017094017;23.179487179487182;25.0;25.0;0;0
6.304;0.0;0.0;0.0;22.96581196581197;23.179487179487182;25.0;25.0;0;0
6.417;0.0;0.0;0.0;22.96581196581197;23.179487179487182;25.0;25.0;0;0
6.525;0.0;0.0;0.0;22.96581196581197;23.179487179487182;25.0;25.0;0;0
6.638;0.0;0.0;0.0;22.96581196581197;23.179487179487182;25.0;25.0;0;0
6.749;0.0;0.0;0.0;22.96581196581197;23.179487179487182;25.0;25.0;0;0
6.858;0.0;0.0;0.0;22.96581196581197;23.179487179487182;25.0;25.0;0;0
6.959;0.0;0.0;0.0;22.96581196581197;23.179487179487182;25.0;25.0;0;0
7.082;0.0;0.0;0.0;22.96581196581197;23.179487179487182;25.0;25.0;0;0
7.183;0.0;0.0;0.0;22.96581196581197;23.179487179487182;25.0;25.0;0;0
7.284;0.0;0.0;0.0;22.96581196581197;23.179487179487182;25.0;25.0;0;0
