Time_Sec;Pos_H;Pos_V;Pos_R;Temp_A;Temp_B;Set_A;Set_B;Stable_A;Stable_B
0.002;0.0;0.0;0.0;23.017094017094017;23.179487179487182;25.0;25.0;0;0
0.103;0.0;0.0;0.0;23.017094017094017;23.179487179487182;25.0;25.0;0;0
0.203;0.0;0.0;0.0;23.017094017094017;23.179487179487182;25.0;25.0;0;0
0.313;0.0;0.0;0.0;23.017094017094017;23.179487179487182;25.0;25.0;0;0
0.414;0.0;0.0;0.0;23.017094017094017;23.179487179487182;25.0;25.0;0;0
0.516;0.0;0.0;0.0;23.017094017094017;23.179487179487182;25.0;25.0;0;0
0.617;0.0;0.0;0.0;23.017094017094017;23.179487179487182;25.0;25.0;0;0
0.719;0.0;0.0;0.0;23.076923076923077;23.179487179487182;25.0;25.0;0;0
0.827;0.0;0.0;0.0;23.076923076923077;23.179487179487182;25.0;25.0;0;0
0.927;0.0;0.0;0.0;23.076923076923077;23.179487179487182;25.0;25.0;0;0
1.049;0.0;0.0;0.0;23.076923076923077;23.179487179487182;25.0;25.0;0;0
1.162;0.0;0.0;0.0;23.076923076923077;23.179487179487182;25.0;25.0;0;0
1.271;0.0;0.0;0.0;23.076923076923077;23.179487179487182;25.0;25.0;0;0
1.383;0.0;0.0;0.0;23.076923076923077;23.179487179487182;25.0;25.0;0;0
1.489;0.0;0.0;0.0;23.076923076923077;23.179487179487182;25.0;25.0;0;0
1.59;0.0;0.0;0.0;23.076923076923077;23.179487179487182;25.0;25.0;0;0
1.703;0.0;0.0;0.0;23.076923076923077;23.179487179487182;25.0;25.0;0;0
1.815;0.0;0.0;0.0;23.076923076923077;23.179487179487182;25.0;25.0;0;0
1.921;0.0;0.0;0.0;23.076923076923077;23.179487179487182;25.0;25.0;0;0
2.022;0.0;0.0;0.0;23.076923076923077;23.179487179487182;25.0;25.0;0;0
2.125;0.0;0.0;0.0;23.076923076923077;23.179487179487182;25.0;25.0;0;0
2.235;0.0;0.0;0.0;23.076923076923077;23.179487179487182;25.0;25.0;0;0
2.367;0.0;0.0;0.0;23.076923076923077;23.179487179487182;25.0;25.0;0;0
2.475;0.0;0.0;0.0;23.076923076923077;23.179487179487182;25.0;25.0;0;0
2.588;0.0;0.0;0.0;23.076923076923077;23.179487179487182;25.0;25.0;0;0
2.695;0.0;0.0;0.0;23.017094017094017;23.179487179487182;25.0;25.0;0;0
2.812;0.0;0.0;0.0;23.017094017094017;23.179487179487182;25.0;25.0;0;0
2.919;0.0;0.0;0.0;23.017094017094017;23.179487179487182;25.0;25.0;0;0
3.02;0.0;0.0;0.0;23.017094017094017;23.179487179487182;25.0;25.0;0;0
3.121;0.0;0.0;0.0;23.017094017094017;23.179487179487182;25.0;25.0;0;0
3.222;0.0;0.0;0.0;23.017094017094017;23.179487179487182;25.0;25.0;0;0
3.322;0.0;0.0;0.0;23.017094017094017;23.179487179487182;25.0;25.0;0;0
3.423;0.0;0.0;0.0;23.017094017094017;23.179487179487182;25.0;25.0;0;0
3.523;0.0;0.0;0.0;23.017094017094017;23.179487179487182;25.0;25.0;0;0
