Time_Sec;Pos_H;Pos_V;Pos_R;Temp_A;Temp_B;Set_A;Set_B;Stable_A;Stable_B
0.002;0.0;0.0;0.0;23.076923076923077;23.128205128205128;25.0;25.0;0;0
0.102;0.0;0.0;0.0;23.076923076923077;23.128205128205128;25.0;25.0;0;0
0.203;0.0;0.0;0.0;23.076923076923077;23.128205128205128;25.0;25.0;0;0
0.303;0.0;0.0;0.0;23.076923076923077;23.128205128205128;25.0;25.0;0;0
0.409;0.0;0.0;0.0;23.076923076923077;23.128205128205128;25.0;25.0;0;0
0.509;0.0;0.0;0.0;23.076923076923077;23.128205128205128;25.0;25.0;0;0
0.613;0.0;0.0;0.0;23.076923076923077;23.128205128205128;25.0;25.0;0;0
0.73;0.0;0.0;0.0;23.076923076923077;23.128205128205128;25.0;25.0;0;0
0.835;0.0;0.0;0.0;23.076923076923077;23.128205128205128;25.0;25.0;0;0
0.936;0.0;0.0;0.0;23.076923076923077;23.128205128205128;25.0;25.0;0;0
1.037;0.0;0.0;0.0;23.076923076923077;23.128205128205128;25.0;25.0;0;0
1.14;0.0;0.0;0.0;23.076923076923077;23.128205128205128;25.0;25.0;0;0
1.247;0.0;0.0;0.0;23.076923076923077;23.128205128205128;25.0;25.0;0;0
1.355;0.0;0.0;0.0;23.076923076923077;23.128205128205128;25.0;25.0;0;0
1.455;0.0;0.0;0.0;23.076923076923077;23.128205128205128;25.0;25.0;0;0
1.58;0.0;0.0;0.0;23.076923076923077;23.128205128205128;25.0;25.0;0;0
1.708;0.0;0.0;0.0;23.076923076923077;23.128205128205128;25.0;25.0;0;0
1.81;0.0;0.0;0.0;23.076923076923077;23.128205128205128;25.0;25.0;0;0
1.911;0.0;0.0;0.0;23.076923076923077;23.128205128205128;25.0;25.0;0;0
2.019;0.0;0.0;0.0;23.076923076923077;23.128205128205128;25.0;25.0;0;0
2.12;0.0;0.0;0.0;23.017094017094017;23.179487179487182;25.0;25.0;0;0
2.232;0.0;0.0;0.0;23.017094017094017;23.179487179487182;25.0;25.0;0;0
2.333;0.0;0.0;0.0;23.017094017094017;23.179487179487182;25.0;25.0;0;0
2.433;0.0;0.0;0.0;23.017094017094017;23.179487179487182;25.0;25.0;0;0
2.534;0.0;0.0;0.0;23.017094017094017;23.179487179487182;25.0;25.0;0;0
2.635;0.0;0.0;0.0;23.017094017094017;23.179487179487182;25.0;25.0;0;0
2.735;0.0;0.0;0.0;23.017094017094017;23.179487179487182;25.0;25.0;0;0
2.837;0.0;0.0;0.0;23.017094017094017;23.179487179487182;25.0;25.0;0;0
2.938;0.0;0.0;0.0;23.017094017094017;23.179487179487182;25.0;25.0;0;0
3.046;0.0;0.0;0.0;23.076923076923077;23.179487179487182;25.0;25.0;0;0
3.156;0.0;0.0;0.0;23.076923076923077;23.179487179487182;25.0;25.0;0;0
3.266;0.0;0.0;0.0;23.076923076923077;23.179487179487182;25.0;25.0;0;0
3.378;0.0;0.0;0.0;23.076923076923077;23.179487179487182;25.0;25.0;0;0
3.493;0.0;0.0;0.0;23.076923076923077;23.179487179487182;25.0;25.0;0;0
3.595;0.0;0.0;0.0;23.076923076923077;23.179487179487182;25.0;25.0;0;0
3.695;0.0;0.0;0.0;23.076923076923077;23.179487179487182;25.0;25.0;0;0
3.805;0.0;0.0;0.0;23.076923076923077;23.179487179487182;25.0;25.0;0;0
3.919;0.0;0.0;0.0;23.076923076923077;23.179487179487182;25.0;25.0;0;0
4.033;0.0;0.0;0.0;23.076923076923077;23.179487179487182;25.0;25.0;0;0
4.141;0.0;0.0;0.0;23.017094017094017;23.179487179487182;25.0;25.0;0;0
4.241;0.0;0.0;0.0;23.017094017094017;23.179487179487182;25.0;25.0;0;0
4.353;0.0;0.0;0.0;23.017094017094017;23.179487179487182;25.0;25.0;0;0
4.46;0.0;0.0;0.0;23.017094017094017;23.179487179487182;25.0;25.0;0;0
4.56;0.0;0.0;0.0;23.017094017094017;23.179487179487182;25.0;25.0;0;0
4.667;0.0;0.0;0.0;23.017094017094017;23.179487179487182;25.0;25.0;0;0
