Time_Sec;Pos_H;Pos_V;Pos_R;Temp_A;Temp_B;Set_A;Set_B;Stable_A;Stable_B
0.003;0.0;0.0;0.0;31.99145299145299;31.99145299145299;32.0;32.0;1;1
0.104;0.0;0.0;0.0;31.99145299145299;31.99145299145299;32.0;32.0;1;1
0.211;0.0;0.0;0.0;31.99145299145299;31.99145299145299;32.0;32.0;1;1
0.312;0.0;0.0;0.0;31.99145299145299;31.99145299145299;32.0;32.0;1;1
0.414;0.0;0.0;0.0;31.99145299145299;31.99145299145299;32.0;32.0;1;1
0.522;0.0;0.0;0.0;31.99145299145299;31.99145299145299;32.0;32.0;1;1
0.622;0.0;0.0;0.0;31.99145299145299;31.99145299145299;32.0;32.0;1;1
0.731;0.0;0.0;0.0;31.99145299145299;31.99145299145299;32.0;32.0;1;1
0.835;0.0;0.0;0.0;31.99145299145299;31.99145299145299;32.0;32.0;1;1
0.936;0.0;0.0;0.0;31.99145299145299;31.99145299145299;32.0;32.0;1;1
1.042;0.0;0.0;0.0;31.99145299145299;31.99145299145299;32.0;32.0;1;1
1.149;0.0;0.0;0.0;31.99145299145299;31.99145299145299;32.0;32.0;1;1
1.264;0.0;0.0;0.0;31.99145299145299;31.99145299145299;32.0;32.0;1;1
1.365;0.0;0.0;0.0;31.99145299145299;31.99145299145299;32.0;32.0;1;1
1.468;0.0;0.0;0.0;31.99145299145299;31.99145299145299;32.0;32.0;1;1
1.583;0.0;0.0;0.0;31.99145299145299;31.99145299145299;32.0;32.0;1;1
1.691;0.0;0.0;0.0;31.99145299145299;31.99145299145299;32.0;32.0;1;1
1.805;0.0;0.0;0.0;31.99145299145299;31.99145299145299;32.0;32.0;1;1
1.912;0.0;0.0;0.0;31.94017094017094;31.99145299145299;32.0;32.0;1;1
2.028;0.0;0.0;0.0;31.94017094017094;31.99145299145299;32.0;32.0;1;1
2.139;0.0;0.0;0.0;31.94017094017094;31.99145299145299;32.0;32.0;1;1
2.246;0.0;0.0;0.0;31.94017094017094;31.99145299145299;32.0;32.0;1;1
2.362;0.0;0.0;0.0;31.94017094017094;31.99145299145299;32.0;32.0;1;1
2.465;0.0;0.0;0.0;31.94017094017094;31.99145299145299;32.0;32.0;1;1
2.566;0.0;0.0;0.0;31.94017094017094;31.99145299145299;32.0;32.0;1;1
2.676;0.0;0.0;0.0;31.94017094017094;31.99145299145299;32.0;32.0;1;1
