Time_Sec;Pos_H;Pos_V;Pos_R;Temp_A;Temp_B;Set_A;Set_B;Stable_A;Stable_B
0.002;0.0;0.0;0.0;23.017094017094017;23.076923076923077;25.0;25.0;0;0
0.103;0.0;0.0;0.0;23.017094017094017;23.076923076923077;25.0;25.0;0;0
0.208;0.0;0.0;0.0;23.017094017094017;23.076923076923077;25.0;25.0;0;0
0.309;0.0;0.0;0.0;23.017094017094017;23.076923076923077;25.0;25.0;0;0
0.418;0.0;0.0;0.0;23.017094017094017;23.076923076923077;25.0;25.0;0;0
0.519;0.0;0.0;0.0;23.017094017094017;23.076923076923077;25.0;25.0;0;0
0.623;0.0;0.0;0.0;23.017094017094017;23.076923076923077;25.0;25.0;0;0
0.744;0.0;0.0;0.0;23.017094017094017;23.076923076923077;25.0;25.0;0;0
0.844;0.0;0.0;0.0;23.017094017094017;23.076923076923077;25.0;25.0;0;0
0.956;0.0;0.0;0.0;23.017094017094017;23.076923076923077;25.0;25.0;0;0
1.059;0.0;0.0;0.0;23.017094017094017;23.076923076923077;25.0;25.0;0;0
1.175;0.0;0.0;0.0;23.017094017094017;23.076923076923077;25.0;25.0;0;0
1.283;0.0;0.0;0.0;23.017094017094017;23.076923076923077;25.0;25.0;0;0
1.383;0.0;0.0;0.0;23.017094017094017;23.076923076923077;25.0;25.0;0;0
1.489;0.0;0.0;0.0;23.017094017094017;23.076923076923077;25.0;25.0;0;0
1.605;0.0;0.0;0.0;23.017094017094017;23.076923076923077;25.0;25.0;0;0
1.713;0.0;0.0;0.0;23.017094017094017;23.076923076923077;25.0;25.0;0;0
1.826;0.0;0.0;0.0;23.017094017094017;23.076923076923077;25.0;25.0;0;0
1.935;0.0;0.0;0.0;23.017094017094017;23.076923076923077;25.0;25.0;0;0
2.047;0.0;0.0;0.0;23.017094017094017;23.076923076923077;25.0;25.0;0;0
2.149;0.0;0.0;0.0;23.017094017094017;23.076923076923077;25.0;25.0;0;0
2.253;0.0;0.0;0.0;23.076923076923077;23.076923076923077;25.0;25.0;0;0
2.367;0.0;0.0;0.0;23.076923076923077;23.076923076923077;25.0;25.0;0;0
2.481;0.0;0.0;0.0;23.076923076923077;23.076923076923077;25.0;25.0;0;0
2.585;0.0;0.0;0.0;23.076923076923077;23.076923076923077;25.0;25.0;0;0
2.698;0.0;0.0;0.0;23.076923076923077;23.076923076923077;25.0;25.0;0;0
2.799;0.0;0.0;0.0;23.076923076923077;23.076923076923077;25.0;25.0;0;0
2.906;0.0;0.0;0.0;23.076923076923077;23.076923076923077;25.0;25.0;0;0
3.01;0.0;0.0;0.0;23.076923076923077;23.076923076923077;25.0;25.0;0;0
